ID,所属游戏,标题,别名,编码,所属期数,第一張卡url,最後一張卡url,備註,如何找尋卡片 url ?,
,1,應募包-VE06,VE06,VE06,-1,,,,,
,1,應募包-VE07,VE07,VE07,-1,,,,,
,1,應募包-VE08,VE08,VE08,-1,,,,,
,1,應募包-VE09,VE09,VE09,-1,,,,,
,1,應募包-VE10,VE10,VE10,-1,,,,,
,1,應募包-VE11,VE11,VE11,-1,,,,,
,1,應募包-VP14,VP14,VP14,-1,,,,,
,1,應募包-VP15,VP15,VP15,-1,,,,,
,1,應募包-VP16,VP16,VP16,-1,,,,,
,1,應募包-VP17,VP17,VP17,-1,,,,,
,1,應募包-VP18,VP18,VP18,-1,,,,,
,1,應募包-VP19,VP19,VP19,-1,,,,,
,1,應募包-VP20,VP20,VP20,-1,,,,,
,1,應募包-VP21,VP21,VP21,-1,,,,,
,1,禮盒 VRAINS BOX-1,LVB1,LVB1,-1,,,,,
,1,禮盒 PRISMATIC GOD BOX,PGB1,PGB1,-1,,,,,
,1,轉卡機,遊戲機台1,DT01,-1,,,,,
,1,轉卡機,遊戲機台10,DT10,-1,,,,,
,1,轉卡機,遊戲機台11,DT11,-1,,,,,
,1,轉卡機,遊戲機台12,DT12,-1,,,,,
,1,轉卡機,遊戲機台13,DT13,-1,,,,,
,1,轉卡機,遊戲機台14,DT14,-1,,,,,
,1,轉卡機,遊戲機台2,DT02,-1,,,,,
,1,轉卡機,遊戲機台3,DT03,-1,,,,,
,1,轉卡機,遊戲機台4,DT04,-1,,,,,
,1,轉卡機,遊戲機台5,DT05,-1,,,,,
,1,轉卡機,遊戲機台6,DT06,-1,,,,,
,1,轉卡機,遊戲機台7,DT07,-1,,,,,
,1,轉卡機,遊戲機台8,DT08,-1,,,,,
,1,轉卡機,遊戲機台9,DT09,-1,,,,,
,1,轉卡機,遊戲機台DTC1,DTC1,-1,,,,,
,1,轉卡機,遊戲機台DTC2,DTC2,-1,,,,,
,1,轉卡機,遊戲機台DTC3,DTC3,-1,,,,,
,1,轉卡機,遊戲機台DTC4,DTC4,-1,,,,,
,1,鐵盒附贈卡,BPCT,BPCT,-1,,,,,
,1,鐵盒附贈卡,BPT,BPT,-1,,,,,
,1,鐵盒附贈卡,CT09,CT09,-1,,,,,
,1,鐵盒附贈卡,DPC1,DPC1,-1,,,,,
,1,LINK VRAINS 決鬥組,LVDS,LVDS,-1,,,,,
