ID,所属游戏,标题,别名,编码,所属期数,第一張卡url,最後一張卡url,備註,如何找尋卡片 url ?,
,1,攻略玩轉者,DBTM,SP16,-1,https://www.cardrush.jp/phone/product/55377,https://www.cardrush.jp/phone/product/55454,77,,
,1,驚奇保衛者,DBAD,SP17,-1,https://www.cardrush.jp/phone/product/59629,https://www.cardrush.jp/phone/product/59706,77,,
,1,野性生還者,DBWS,SP18,-1,https://www.cardrush.jp/phone/product/65889,https://www.cardrush.jp/phone/product/65966,77,,
,1,種族力量,SPTR,SP2,-1,跳躍太大,跳躍太大,跳躍太大,,
,1,高速騎士,SPHR,SP3,-1,跳躍太大,跳躍太大,跳躍太大,,
,1,羽翼突襲者,SPWR,SP4,-1,跳躍太大,跳躍太大,跳躍太大,,
,1,命運士兵,SPDS,SP5,-1,跳躍太大,跳躍太大,跳躍太大,,
,1,融合執法者,SPFE,SP6,-1,跳躍太大,跳躍太大,跳躍太大,,
,1,靈魂戰士,DBSW,SP7,-1,跳躍太大,跳躍太大,跳躍太大,,
,1,黑暗救星,DBDS,SP8,-1,https://www.cardrush.jp/phone/product/19886,https://www.cardrush.jp/phone/product/19920,只有34張,,
,1,隱秘召喚師,DBHS,SP9,-1,https://www.cardrush.jp/phone/product/25073,https://www.cardrush.jp/phone/product/25150,77,,
,1,高罕貴收藏包,TRC1,TRC1,-1,跳躍太大,跳躍太大,跳躍太大,,
,1,20周年復刻版1,VOL1,VOL1,-1,太久遠了找不全,太久遠了找不全,太久遠了找不全,,
,1,20周年復刻版2,VOL2,VOL2,-1,太久遠了找不全,太久遠了找不全,太久遠了找不全,,
,1,20周年復刻版3,VOL3,VOL3,-1,太久遠了找不全,太久遠了找不全,太久遠了找不全,,
,1,20周年復刻版4,VOL4,VOL4,-1,太久遠了找不全,太久遠了找不全,太久遠了找不全,,
,1,20周年復刻版5,VOL5,VOL5,-1,太久遠了找不全,太久遠了找不全,太久遠了找不全,,
,1,20周年復刻版6,VOL6,VOL6,-1,太久遠了找不全,太久遠了找不全,太久遠了找不全,,
,1,20周年復刻版7,VOL7,VOL7,-1,太久遠了找不全,太久遠了找不全,太久遠了找不全,,
,1,世界精選包2020,WPP1,WPP1,-1,https://www.cardrush.jp/phone/product/45156,https://www.cardrush.jp/phone/product/45252,96,,
,1,世界精選包2021,WPP2,WPP2,-1,https://www.cardrush.jp/phone/product/52575,https://www.cardrush.jp/phone/product/52668,93,,
,1,世界精選包2022,WPP3,WPP3,-1,https://www.cardrush.jp/phone/product/59793,https://www.cardrush.jp/phone/product/59860,67,,
,1,世界精選包2023,WPP4,WPP4,-1,沒找到,沒找到,沒找到,,
,1,高罕貴4菱鑽包,PAC1,PAC1,-1,https://www.cardrush.jp/phone/product/47661,https://www.cardrush.jp/phone/product/47868,207,,
,1,高罕貴收藏包2,RC02,RC02,-1,https://www.cardrush.jp/phone/product/19722,https://www.cardrush.jp/phone/product/19862,140,,
,1,高罕貴收藏包3,RC03,RC03,-1,https://www.cardrush.jp/phone/product/37883,https://www.cardrush.jp/phone/product/37999,116,,
,1,高罕貴收藏包4,RC04,RC04,-1,https://www.cardrush.jp/phone/product/65131,https://www.cardrush.jp/phone/product/65616,,,
,1,高罕貴-歷史典藏包,HC01,HC01,-1,https://www.cardrush.jp/phone/product/54720,https://www.cardrush.jp/phone/product/54887,167,,
,1,復刻精選包5,SLF1,SLF1,-1,https://www.cardrush.jp/phone/product/60518,https://www.cardrush.jp/phone/product/60857,339,,
,1,決鬥盤附贈卡1,ADD,ADD,-1,太久遠了找不全,太久遠了找不全,太久遠了找不全,,
,1,決鬥盤附贈卡2,ADDR,ADDR,-1,太久遠了找不全,太久遠了找不全,太久遠了找不全,,
,1,決鬥盤附贈卡3,ADDS,ADDS,-1,太久遠了找不全,太久遠了找不全,太久遠了找不全,,
,1,決鬥盤附贈卡4,DB01,DB01,-1,太久遠了找不全,太久遠了找不全,太久遠了找不全,,
,1,決鬥盤附贈卡5,DB12,DB12,-1,太久遠了找不全,太久遠了找不全,太久遠了找不全,,
,1,決鬥盤附贈卡6,DDY1,DDY1,-1,太久遠了找不全,太久遠了找不全,太久遠了找不全,,
,1,決鬥盤附贈卡7,DDY2,DDY2,-1,太久遠了找不全,太久遠了找不全,太久遠了找不全,,
,1,決鬥盤附贈卡8,DDY3,DDY3,-1,太久遠了找不全,太久遠了找不全,太久遠了找不全,,
,1,玩具附贈卡1,MFC1,MFC1,-1,,,,,
,1,玩具附贈卡2,MFC2,MFC2,-1,,,,,
,1,玩具附贈卡3,MFC3,MFC3,-1,,,,,
,1,初回限定特典,MVPC,MVPC,-1,,,,,
,1,DVD影片附卡1,DMG,DMG,-1,,,,,
,1,DVD影片附卡2,DMMD,DMMD,-1,,,,,
,1,附贈卡-GBA1,G1,G1,-1,,,,,
